stage,seed,suite,model,modes,rho,n_samples,relative_l2_mean,relative_l2_median,mae_mean,mae_median,linf_mean,linf_median,interface_mae_mean,interface_mae_median,far_field_mae_mean,far_field_mae_median,jump_amplitude_error_mean,jump_amplitude_error_median,overshoot_mean,overshoot_median,spurious_jump_error_mean,spurious_jump_error_median,total_variation_error_mean,total_variation_error_median
A,0,iid,wide_plain,8,0.0,32,0.13791060774652403,0.14138395922736047,0.033860807396246216,0.03168138808385494,0.23253855732919498,0.2440070552227644,0.10957355691310937,0.11237400763330023,0.016859329389699723,0.01638400302933975,0.21067976974333713,0.2160454477006789,0.0891268892959246,0.09014005057054247,0.5820021837366359,0.5219352501897916,0.8533715648059961,0.8800087965190678
A,0,endpoint_continuous,wide_plain,8,0.0,24,0.0002883168732750129,0.0002883168732750194,0.00014884168353025207,0.00016075725278286157,0.00014884168353025207,0.00016075725278286157,nan,nan,0.00014884168353025207,0.00016075725278286157,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,wide_plain,8,0.0,24,0.15028665478196596,0.14103138260578413,0.03487999583699974,0.03582860859743517,0.22088367254634436,0.23796849722246924,0.11562022748787205,0.12565199741074257,0.018254639394875708,0.020547485139321545,0.2182788098929618,0.22543852482146298,0.09379302301264605,0.09642063027882575,0.562142617740835,0.516135048063025,0.9074346073379808,1.0008633399119968
A,0,false_interface,wide_plain,8,0.0,24,0.0002883168732750264,0.0002883168732750281,7.047605555964374e-05,8.329066401352447e-05,7.047605555964374e-05,8.329066401352447e-05,6.917608722219289e-05,8.223113201677457e-05,7.047605555964374e-05,8.329066401352447e-05,0.0,0.0,6.917608722219289e-05,8.223113201677457e-05,0.0,0.0,0.0,0.0
A,0,iid,exact_shift,0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0,iid,shared_rho_0.25,8,0.25,32,0.12749986344416336,0.1387714036993688,0.03493651940767649,0.03728822085951643,0.25531155695025987,0.2784464994657848,0.10594991334773363,0.10403486675845182,0.019087019645280687,0.0193682623532839,0.3609453479286396,0.36189381410301874,0.06789197708829839,0.063412460688827,0.40248476342167455,0.4746856366757326,0.34766539321031,0.3436312537088724
A,0,iid,shared_rho_0.5,8,0.5,32,0.15680547261397504,0.16709725818588744,0.04190048351752362,0.04400972636017625,0.2833183832075299,0.2963996063331583,0.1282737848904421,0.12821740912757867,0.022638592046656775,0.02332546547020834,0.43684865803484696,0.44449240373222454,0.07985903818152343,0.07486012624978569,0.5102535528393408,0.5789795341712409,0.4355336442064822,0.4301121772389219
A,0,iid,shared_rho_0.75,8,0.75,32,0.18698974852005412,0.19628343304099422,0.0488488422697822,0.05236768127728223,0.31220981120772623,0.3237928367615085,0.1499435924889956,0.1516170925566628,0.02632338300228461,0.027522256631596666,0.5104538003819618,0.5244019756130203,0.09226571174022619,0.091114621895093,0.6155379025396746,0.6783385699749851,0.5224920951852212,0.5254805044381258
A,0,iid,shared_rho_1,8,1.0,32,0.21789676811901537,0.22216917289822893,0.056020029597260435,0.06075378667580074,0.3501941006728544,0.3465795075927133,0.171207595487868,0.17450658894354365,0.030356232673332362,0.03067638142459881,0.5826956032808536,0.6027126128661184,0.10604627832534541,0.10984513570614005,0.7185799351915849,0.7764105393388736,0.6079111413945416,0.6157488515995572
A,0,ablation_unshifted,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_unshifted,shared,8,0.0,32,0.5127655412503165,0.4970919677109099,0.13699635705704488,0.1303778880702327,0.6800224497289972,0.66767649788725,0.339552046440722,0.33480863139173433,0.09205449680140375,0.08845813754364304,0.8014372577305634,0.7969374105319268,0.04921891628569852,0.04182447960632685,0.9644209573936493,0.9303343442326715,0.41300716245899005,0.33220583978776375
A,0,ablation_unshifted,shared_learnable_rho,8,0.007465560653954272,32,0.5098020576051623,0.4939289050258694,0.1363210227213672,0.1298182251871085,0.6772328198093536,0.6654193096849008,0.3382312184656351,0.3332842034771537,0.0915227815627418,0.0878823147675879,0.7999059975747288,0.7954940273664388,0.04942861317324295,0.042124181870763666,0.9623749153540679,0.929250095595112,0.4134238838002239,0.33345657105921256
A,0,ablation_unshifted,dual,8,0.0,32,0.6998018057060869,0.695777518599586,0.1826243429111066,0.179535442341471,0.8595304460125938,0.8186373055595566,0.4281997521916032,0.44195712647711793,0.1281582778815142,0.12288692108007532,0.8968231633919012,0.886489259541664,0.07749873612230997,0.04968892567212391,1.1231606486779646,1.0027232933535863,0.4934420929534939,0.3463162939930592
A,0,ablation_constant,two_channel_fno,8,0.0,32,0.2179927929116947,0.22225647867573628,0.05604638720115341,0.06075484563403606,0.35055164796286137,0.3462435274229098,0.17120029163513784,0.17447113079196758,0.030385760678281297,0.030574912670860675,0.582659269863294,0.6026146965071117,0.10612851194411577,0.10853280471362843,0.7184204861393959,0.7764354868465951,0.6084190392826934,0.6175162026888434
